ParroquiaPARROQUIAPARROQUIA,Fecha de PagoMesMes,Tipo de PagoTipo de PagoTipo de Pago,Actividad ComercialDescripción ActividadDescripcion Nivel 1,MeasuresValores Pagados,Agregar columna2
18 DE OCTUBRE,ene-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,2020.509,
18 DE OCTUBRE,ene-23,EFECTIVO,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.,26,
18 DE OCTUBRE,ene-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,504,
18 DE OCTUBRE,ene-23,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",223.4935,
18 DE OCTUBRE,ene-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",35.16,
18 DE OCTUBRE,ene-23,EFECTIVO,"ARTES, ENTRETENIMIENTO Y RECREACIÓN.",80,
18 DE OCTUBRE,ene-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,10272.0418,
18 DE OCTUBRE,ene-23,EFECTIVO,CONSTRUCCIÓN.,24,
18 DE OCTUBRE,ene-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,290.7535,
18 DE OCTUBRE,ene-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,72,
18 DE OCTUBRE,ene-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,867.7035,
18 DE OCTUBRE,ene-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,87,
18 DE OCTUBRE,ene-23,EFECTIVO,VERIFICAR,1647.4728,
18 DE OCTUBRE,feb-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,1398.5668,
18 DE OCTUBRE,feb-23,EFECTIVO,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.,23,
18 DE OCTUBRE,feb-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,504,
18 DE OCTUBRE,feb-23,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",38.0045,
18 DE OCTUBRE,feb-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",35.16,
18 DE OCTUBRE,feb-23,EFECTIVO,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,7664.2649,
18 DE OCTUBRE,feb-23,EFECTIVO,CONSTRUCCIÓN.,60,
18 DE OCTUBRE,feb-23,EFECTIVO,INDUSTRIAS MANUFACTURERAS.,231.0007,
18 DE OCTUBRE,feb-23,EFECTIVO,OTRAS ACTIVIDADES DE SERVICIOS.,94,
18 DE OCTUBRE,feb-23,EFECTIVO,SIN ACTIVIDAD ECONOMICA - CIIU,497.499,
18 DE OCTUBRE,feb-23,EFECTIVO,TRANSPORTE Y ALMACENAMIENTO.,659.2503,
18 DE OCTUBRE,feb-23,EFECTIVO,VERIFICAR,1238.546,
18 DE OCTUBRE,mar-23,EFECTIVO,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.,1282.551,
18 DE OCTUBRE,mar-23,EFECTIVO,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.,420.4,
18 DE OCTUBRE,mar-23,EFECTIVO,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,699.9005,
18 DE OCTUBRE,mar-23,EFECTIVO,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",110,
18 DE OCTUBRE,mar-23,EFECTIVO,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.",50.22,
